Country,Year,Total Words,Keyword Mentions,Ratio
USA,2017,4703,7,0.001488411652136934
USA,2018,3716,2,0.0005382131324004305
USA,2019,3933,1,0.0002542588354945334
USA,2020,1059,0,0.0
USA,2021,4553,12,0.002635624862727872
USA,2022,3963,11,0.0027756749936916477
USA,2023,4052,14,0.0034550839091806516
USA,2024,3621,6,0.0016570008285004142
FRANCE,2017,4683,16,0.003416613282084134
FRANCE,2018,5727,18,0.003143006809848088
FRANCE,2019,5051,16,0.0031676895664224905
FRANCE,2020,7239,18,0.0024865312888520514
FRANCE,2021,2275,3,0.0013186813186813187
FRANCE,2022,3875,12,0.003096774193548387
FRANCE,2023,2112,5,0.0023674242424242425
FRANCE,2024,3792,12,0.0031645569620253164
CHN,2017,2496,6,0.002403846153846154
CHN,2018,2862,3,0.0010482180293501049
CHN,2019,2840,2,0.0007042253521126761
CHN,2020,1928,2,0.001037344398340249
CHN,2021,1605,1,0.0006230529595015577
CHN,2022,3163,3,0.0009484666455896301
CHN,2023,1765,2,0.0011331444759206798
CHN,2024,2859,0,0.0
UK,2017,3394,9,0.0026517383618149676
UK,2018,2813,8,0.0028439388553146107
UK,2019,2200,2,0.0009090909090909091
UK,2020,2286,1,0.0004374453193350831
UK,2021,3085,4,0.0012965964343598054
UK,2022,1937,2,0.0010325245224574084
UK,2023,2320,3,0.001293103448275862
UK,2024,2091,14,0.006695361071257772
RUS,2017,2945,5,0.001697792869269949
RUS,2018,2478,5,0.0020177562550443904
RUS,2019,3100,8,0.0025806451612903226
RUS,2020,2437,6,0.0024620434961017644
RUS,2021,2816,1,0.0003551136363636364
RUS,2022,3357,4,0.0011915400655347036
RUS,2023,3570,4,0.0011204481792717086
RUS,2024,3666,2,0.0005455537370430987
